code	gen1	gen2	gen3	gen4	gen5	gen6	gen7	gen8	gen9	gen10	gen11	gen12	gen13	gen14	gen15	gen16	gen17	gen18	gen19	gen20	gen21	gen22	gen23	gen24	gen25	gen26	gen27	altitude	pluvio_yr	forest	pluvio_1	pluvio_2	pluvio_3	pluvio_4	pluvio_5	pluvio_6	pluvio_7	pluvio_8	pluvio_9	pluvio_10	pluvio_11	pluvio_12	geology	evi_1	evi_2	evi_3	evi_4	evi_5	evi_6	evi_7	evi_8	evi_9	evi_10	evi_11	evi_12	evi_13	evi_14	evi_15	evi_16	evi_17	evi_18	evi_19	evi_20	evi_21	evi_22	evi_23	lon	lat	surface
185	1	0	1	0	5	0	0	1	3	206	25	2	8	0	2	5	0	0	1	4	9	0	3	2	7	60	0	631,6647949219	1503	6	39,340259552	53,4688262939	126,2952346802	166,835067749	169,9497680664	139,8593139648	129,3402557373	136,335067749	175,0155792236	210,3887481689	121,5450286865	35,3333320618	5	0,370698005	0,4048559964	0,4093711972	0,4254650176	0,4605648518	0,4815816581	0,489659667	0,4858814776	0,5055911541	0,4803125262	0,4680069685	0,4344170094	0,4241957664	0,4306919873	0,3957484663	0,4351606369	0,4753096998	0,486738801	0,4230999053	0,4229667485	0,4126389623	0,4158052206	0,3585263193	14,2065149204	3,2255872686	23
1884	12	0	0	0	0	0	0	0	3	36	16	13	12	0	2	0	0	0	0	7	2	1	0	0	0	5	1	356,1932983398	1442,6666259766	5	71,551109314	77,4087142944	143,1091156006	139,6820831299	126,9010314941	106,8460388184	121,6372451782	106,8969268799	147,7478179932	166,1739807129	142,152557373	78,9098434448	6	0,3547807336	0,3572850227	0,4116043448	0,4477663636	0,4563315213	0,4891020954	0,4848952591	0,484855026	0,4987190962	0,4742310643	0,455185622	0,4257166088	0,3924402595	0,4176382422	0,4637716711	0,4642603993	0,4872978926	0,4818415046	0,4584323168	0,4727787971	0,4500685334	0,4351596832	0,3714411259	16,4929160178	1,5014159492	6
566	4	0	0	0	0	2	0	3	1	19	1	0	2	0	0	0	0	0	0	1	0	1	0	2	2	0	0	464,5375976563	1428	1	88	94,1666641235	127,3333358765	145,6666717529	128,5	99,6666641235	59,8333320618	67,6666641235	143,8333282471	199,8333282471	169,5	95,1666641235	3	0,3969187737	0,4016227126	0,4482987523	0,4707738161	0,4755656123	0,4862714112	0,5045289397	0,5251225233	0,5300301313	0,4910078049	0,5076745749	0,454048872	0,4619745016	0,4834576249	0,479391396	0,5044307113	0,5431360602	0,5391945243	0,5058643818	0,4779830873	0,4710541964	0,4377050102	0,3945171237	15,3684564617	0,7517762451	5,5
182	2	0	0	0	8	0	1	0	1	17	6	6	7	0	2	2	1	0	5	10	1	0	1	2	3	63	6	623,2489013672	1499,5555419922	6	40,8219642639	53,1626472473	123,674156189	169,2763061523	172,3497161865	140,1502380371	126,86277771	134,3402557373	181,0780029297	211,1753692627	128,695098877	36,6660118103	5	0,358186245	0,37220487	0,3905566037	0,4157185853	0,4398067296	0,4744189084	0,4826735854	0,4704546332	0,4992853403	0,4575105608	0,4651067555	0,4234750867	0,4314396679	0,3854911625	0,3798605204	0,4254414737	0,4578079283	0,4746250212	0,4127869308	0,4226255417	0,4002944529	0,4105702341	0,3480437696	14,2065149204	3,1131413129	13
501	1	0	0	3	1	0	0	1	0	12	6	4	5	0	0	0	0	0	1	0	3	0	1	4	2	5	1	503,8504943848	1479,8889160156	7	51,5721702576	79,815574646	141,0679626465	148,3406982422	143,9451446533	122,7462387085	125,3885192871	114,255355835	170,6230316162	200,7900238037	121,3855056763	50,5068016052	1	0,3458544016	0,3726732135	0,4184786677	0,4707628489	0,4492391348	0,5235806108	0,5136525035	0,516427815	0,5110211372	0,4949380159	0,4912627339	0,4720052779	0,4324389994	0,434890002	0,4596533179	0,4945697188	0,4800617993	0,4727434814	0,4446679652	0,4589194059	0,4382653534	0,4346185625	0,343450129	15,1810465357	2,4759475645	5,5
1632	3	0	0	0	0	1	1	1	0	65	23	0	21	0	0	2	0	0	0	11	1	0	0	3	3	19	0	363,0049438477	1428	2	77,7001190186	92,4039611816	150,0631866455	146,8556365967	133,951675415	99,1852493286	86,0743408203	92,211265564	147,9151000977	168,6889801025	162,3488006592	87,8779373169	6	0,3571407497	0,3866794407	0,4264615774	0,4584031701	0,4984700382	0,5365478992	0,5301367044	0,5212898254	0,5338421464	0,508246541	0,4677799344	0,4385887682	0,4522074759	0,4342471063	0,5143731236	0,4851959944	0,4967021346	0,5453362465	0,5194898248	0,476336211	0,4802069068	0,4644949436	0,394295156	16,3055060918	0,9017041859	14,5
2827	5	1	2	2	1	0	0	4	3	14	29	9	13	3	1	0	1	0	0	0	7	0	10	14	9	7	18	388,2534484863	1468,3333740234	7	63,3731307983	84,7742385864	137,9483795166	129,0397949219	111,5752563477	106,9570617676	144,3246612549	139,0752563477	154,9204101563	178,1343536377	116,6977844238	57,9925231934	6	0,3225585818	0,3668533862	0,3672681749	0,4215499461	0,4473329782	0,5171274543	0,4886291325	0,5129682422	0,496437341	0,4898893237	0,4840404987	0,4471473694	0,4224341512	0,4157143831	0,4786401689	0,4677605331	0,4865911901	0,4834303558	0,4542360902	0,4755386412	0,4481828213	0,4213726521	0,3584581017	17,1675917515	2,2135736681	8,5
1032	4	0	0	0	0	0	0	0	0	66	1	0	1	1	0	0	0	0	0	3	5	0	0	0	0	1	0	447,1583251953	1464,4444580078	1	87,5144424438	92,4566650391	128,7783355713	146,2966766357	120,3661117554	104,8005523682	83,622215271	89,5866622925	156,7611083984	184,6888885498	165,3805541992	100,4750061035	1	0,3761467636	0,4121353924	0,4011643231	0,4650636613	0,5090605617	0,5153913498	0,5114129782	0,5194150209	0,5125795007	0,5138639808	0,4985712171	0,4578059018	0,4764843285	0,4873892963	0,4607660472	0,5014341474	0,5378556848	0,521422863	0,4759925902	0,4712701738	0,4843145907	0,4402861893	0,3847193718	15,7432763137	1,2015600676	5
715	0	0	0	0	0	4	0	0	0	7	2	0	4	0	0	0	0	0	0	1	3	0	1	2	0	0	0	421,6771850586	1429	2	88,7649230957	98,5547180176	126,0124359131	146,0920410156	127,4004974365	87,8159179688	55,7412948608	66,2599487305	142,9067077637	199,442779541	168,802230835	94,9303436279	3	0,4394734502	0,4660906196	0,4850711524	0,5287205577	0,5216785073	0,5412501693	0,5586031079	0,5676435232	0,5499172807	0,5577902198	0,5493662953	0,4995358586	0,5012044311	0,5350857973	0,527353406	0,569793582	0,5816507339	0,5764146447	0,5359554291	0,5478430986	0,5364677906	0,5323842764	0,4533016682	15,5183844025	0,5643663191	6
2167	3	0	0	0	3	0	4	8	4	18	18	17	1	2	0	2	3	0	0	2	1	0	6	18	21	29	1	395,983581543	1477,7778320313	7	65,1432113647	77,2565994263	149,4203338623	134,7341156006	126,1666641235	100,3240432739	147,0767364502	125,7360610962	157,4560089111	185,8005828857	124,9643249512	72,6207275391	6	0,3425065577	0,3550302386	0,4059376121	0,406139195	0,4383576214	0,4728895724	0,5043439865	0,5360403061	0,4916336238	0,4843114913	0,4767073095	0,4266209602	0,4148714244	0,4270446002	0,480386883	0,456807822	0,4903003573	0,4734138846	0,4617216587	0,4725238681	0,4350656569	0,4338628352	0,3630545139	16,6803259438	1,9511997716	12,5
1998	2	0	0	1	0	0	0	0	0	23	12	0	14	1	0	3	0	0	0	0	3	0	0	0	4	0	0	508,282043457	1445,1110839844	7	35,8202934265	65,3201599121	109,992149353	123,0702362061	131,7517852783	124,5415115356	137,755355835	159,2490234375	179,8577575684	190,2732849121	103,1826019287	47,7805671692	3	0,350590378	0,3894695342	0,4067770243	0,4428977072	0,4666018188	0,4794481993	0,4827069938	0,5060939789	0,490480125	0,4859508276	0,4745513499	0,4420737326	0,4625107646	0,4395226538	0,4646519125	0,4599792361	0,4897091091	0,4668489993	0,4291168451	0,4556966126	0,4261951745	0,3771938086	0,3407532573	16,5678799882	2,9632133721	4,44
668	3	0	0	0	1	0	0	0	0	1	1	0	1	3	0	0	0	0	0	1	0	0	0	1	0	1	0	435,296875	1426,7778320313	1	87,6603622437	92,4111251831	127,4149169922	142,2207489014	127,558921814	101,1194152832	62,3634986877	69,3246536255	144,4163970947	198,6469116211	165,9615783691	97,9923858643	1	0,3861033022	0,3966765106	0,43802917	0,4588881135	0,4807277322	0,5112469792	0,5299313068	0,517578423	0,5084193945	0,5024759173	0,5031648278	0,450060904	0,460172087	0,4749107659	0,4938564301	0,5079721212	0,531429112	0,5372149944	0,5065532923	0,504005909	0,4783900976	0,4496591985	0,3943798244	15,4809024173	0,7892582303	2,5
207	10	0	0	0	0	1	2	1	3	66	45	36	8	0	1	0	1	0	0	3	21	0	2	1	1	59	4	651,2379760742	1507	6	37,9862937927	59,5929679871	130,7459259033	157,4098052979	173,9618530273	141,0137176514	132,3142700195	138,4290771484	174,2568511963	200,226852417	112,617401123	34,2705612183	5	0,3684870899	0,3857425153	0,4047140777	0,4333566725	0,4644105136	0,5180177689	0,5080468059	0,4699646831	0,5003606081	0,4688127339	0,4615119994	0,4184555709	0,4030738473	0,3846852779	0,4255117476	0,4169492126	0,4603052437	0,4734517932	0,4123713076	0,4137387574	0,420619607	0,4053468108	0,3405760825	14,2814788908	3,3380332242	22
2955	1	0	0	3	0	0	2	7	1	24	32	13	25	2	0	1	4	0	2	1	6	5	2	13	17	8	11	397,6360168457	1472,5555419922	7	64,9800567627	76,6304931641	132,231918335	128,5452880859	109,460105896	110,065246582	131,704864502	143,985458374	157,8225097656	168,4547119141	103,6757965088	61,4492912292	6	0,3541510701	0,3567205071	0,3955522478	0,4476799369	0,4917739034	0,4945497215	0,4715634584	0,5250120759	0,5080603957	0,4697132111	0,4879185855	0,4459669888	0,4550612569	0,428560853	0,4745813608	0,4925749004	0,4989889264	0,4745590091	0,4645139575	0,47215119	0,4652735293	0,4278362989	0,370362252	17,2800377071	2,3635016089	11
605	0	0	0	0	0	0	0	0	0	3	4	0	4	0	0	0	0	0	0	0	0	0	1	0	0	10	12	477,0795288086	1462	1	55,5	78,3333358765	144,3333282471	139,3333282471	141	110,1666641235	113,3333358765	114	157,3333282471	189,3333282471	131,3333282471	67,5	1	0,3554745317	0,3791683614	0,4320392609	0,4551407397	0,4578940868	0,5300475359	0,5502305031	0,5507317185	0,5567535162	0,5339539051	0,5232325792	0,4821585715	0,4829729199	0,4435645044	0,4754399061	0,5017871857	0,5359006524	0,5004249215	0,5023686886	0,4946746826	0,4509183466	0,4405289888	0,3448891938	15,4059384469	2,2135736681	2,0002064492
357	0	0	0	0	1	1	2	1	1	0	11	0	3	0	0	0	0	0	0	1	1	0	1	2	0	33	28	642,4256591797	1470	7	30,4999885559	57,8331794739	129,8334503174	150,5000762939	166,0000762939	144,6667480469	149,4999542236	135,5000152588	196,1666412354	183,0000915527	112,6665725708	22,8333797455	5	0,3700928688	0,3858850598	0,4188659191	0,4556108713	0,4178213179	0,5278826952	0,5298629403	0,522369206	0,538421452	0,4893928468	0,4925720692	0,4751975834	0,4458683729	0,407736659	0,4269617498	0,4727983773	0,4684816301	0,4677904248	0,4496753812	0,4644314349	0,4251178205	0,4175951779	0,3549273014	14,6188167576	3,675371091	8
1873	0	0	4	0	0	0	0	0	0	13	8	0	2	4	0	0	1	0	0	0	0	0	0	1	0	4	0	348,2518920898	1436,3333740234	5	73,6002578735	94,8969573975	149,9356231689	148,0569000244	130,2305297852	97,7092437744	100,8368225098	105,7939300537	152,3282928467	153,2429962158	147,8933563232	89,7680435181	6	0,3271198869	0,3523266912	0,363076359	0,439266175	0,4592207074	0,4828049242	0,461019367	0,4815359116	0,5083569288	0,4652310014	0,4476216733	0,41731897	0,4209705591	0,4224000573	0,461509645	0,4584373832	0,5042644739	0,4664583206	0,4644153416	0,4591047168	0,4767122269	0,4381705821	0,3836984932	16,4929160178	1,089114112	3
197	7	0	0	3	3	0	4	0	0	9	22	6	3	0	1	1	0	0	0	1	5	1	7	1	3	36	1	662,3428344727	1474	6	39,9519767761	58,2126159668	129,030380249	156,9060974121	167,4896087646	138,7084350586	132,6161346436	130,9037780762	173,95652771	195,2684020996	117,1729660034	28,8375015259	5	0,370526135	0,3841786385	0,4307030141	0,4583151042	0,4429018497	0,5145585537	0,4972065985	0,4960098863	0,4926493466	0,4722840488	0,4674476981	0,4246910214	0,4472620785	0,3871977925	0,3990009427	0,4217178524	0,4677018821	0,4555904567	0,4343706965	0,4340816736	0,4318268299	0,4067368209	0,3553542495	14,2439969056	3,3755152094	11
1366	0	4	0	0	0	0	0	28	0	10	22	8	17	0	1	1	0	0	12	0	3	0	1	7	16	0	0	438,8413085938	1528,2221679688	4	23,3081550598	55,2599449158	141,1072235107	144,5078735352	144,6375427246	139,0037994385	155,4452819824	173,7407989502	184,6579437256	208,3952484131	107,3228683472	33,0717773438	5	0,3432810605	0,3419292867	0,3473643959	0,3656587303	0,3945199847	0,46915254	0,4781487286	0,5231993198	0,5291888118	0,5313486457	0,5283408761	0,5154511929	0,5213156343	0,4925826192	0,5087810755	0,5309989452	0,5226262808	0,5216776133	0,5110381842	0,4737877548	0,461309582	0,4395524263	0,361261189	16,0806141806	3,5629251354	4,5
2954	1	2	4	0	0	0	0	2	1	11	23	4	21	2	1	2	0	0	0	0	8	2	7	8	5	13	0	383,0931396484	1477	5	64,5	78,1666641235	133	128,8333282471	108,5	110,8333358765	135,8333282471	142,8333282471	159,1666717529	168,1666717529	105,5	61,8333320618	6	0,3373436928	0,3543518782	0,3836038709	0,4456523657	0,4859702587	0,4865227044	0,4733956754	0,5117626786	0,5081879497	0,4731149673	0,4810485542	0,4385456145	0,4572793841	0,4347432256	0,4747106433	0,4844992459	0,5029833317	0,4801436365	0,4660597742	0,4742793441	0,4704073071	0,4253495634	0,3648172617	17,2800377071	2,3260196237	8
250	4	0	0	1	2	0	4	0	2	13	28	16	10	0	1	2	0	1	8	7	5	0	11	1	4	46	61	671,4827880859	1454	7	34,5946731567	68,5442504883	120,7182998657	145,6892852783	161,6467590332	125,65990448	157,2970428467	134,7881317139	190,3257598877	173,1200561523	121,055557251	19,6076049805	5	0,3523644209	0,3521660566	0,3964442313	0,43213588	0,4156185389	0,4960532188	0,5198798776	0,4941909015	0,4920323193	0,4871369302	0,4795741737	0,4683796465	0,4663287699	0,4216361046	0,4356741607	0,4513209462	0,4847258925	0,4794186652	0,4302947521	0,3980514705	0,4291239381	0,4001862407	0,3410262167	14,3564428612	3,862781017	17
407	4	0	0	0	4	0	15	9	0	70	48	29	35	0	3	3	7	0	4	0	7	4	11	11	2	52	41	554,1281738281	1434	5	56	84,3333358765	134,3333282471	153,1666717529	147,5	106,8333358765	115,5	101,1666641235	162,5	185,6666717529	127,1666641235	55	1	0,3701556623	0,3672970831	0,4043818414	0,458060652	0,4790871441	0,504778862	0,5177100897	0,5083331466	0,512478888	0,5017510056	0,4871418178	0,4416974485	0,4394948483	0,4363757074	0,4505775869	0,4645766914	0,5005730391	0,4977348447	0,4535548389	0,4874310195	0,4695825875	0,4230513871	0,3440101445	14,8437086689	2,2510556533	17
724	0	0	0	0	0	0	0	0	0	10	2	0	4	7	0	0	0	0	0	0	0	0	0	0	0	3	0	475,5697021484	1445	2	86,6666641235	95	128,1666717529	139,3333282471	132,1666717529	107,3333358765	67,6666641235	75,5	147	201,3333282471	165,5	103	1	0,4157959819	0,4373846948	0,4614956677	0,4894317687	0,5192961693	0,5318632722	0,5709895492	0,5575137138	0,548399806	0,5215785503	0,5280149579	0,480500102	0,4828341603	0,5218597651	0,5200019479	0,551872015	0,5688203573	0,5673773289	0,483186245	0,5448309183	0,5080203414	0,4855593741	0,4066943526	15,5183844025	0,9017041859	5,5
429	0	15	0	0	2	0	22	11	1	117	61	62	58	0	17	7	8	0	0	2	0	0	19	4	6	71	76	461,791809082	1430	1	58,1666679382	84,6666641235	132,3333282471	155,5	141	106,5	115,3333358765	103,6666641235	159,5	188,6666717529	125,8333358765	53,6666679382	1	0,3475303948	0,3580065072	0,3754862249	0,4106155038	0,4260950089	0,4972158074	0,5258879066	0,5247188807	0,5247485042	0,5463686585	0,5090459585	0,4657839239	0,4420979619	0,4560596645	0,4504061937	0,4977493584	0,5096722245	0,5314503312	0,4485789239	0,4839892983	0,4571655095	0,4059294462	0,3282366395	14,9186726393	2,2135736681	17,5
3170	2	0	0	0	0	0	0	109	0	7	8	6	2	1	0	0	0	0	8	0	8	2	0	83	41	0	0	444,900970459	1425,0987548828	1	26,4078788757	47,4907493591	132,2015533447	118,0670394897	116,6530380249	142,4120635986	152,2004394531	173,2101745605	160,541305542	178,3773651123	77,431350708	30,1550750732	5	0,336487323	0,3448454738	0,3595841825	0,3839854598	0,4254347086	0,4805243611	0,4704755843	0,5311381221	0,5262978077	0,5589178205	0,5082916021	0,4841154218	0,5159423351	0,4666583836	0,4833203852	0,4813272953	0,5109305382	0,5140102506	0,4886609018	0,45305264	0,4620612264	0,3955933154	0,3504659832	17,4674476331	3,862781017	4,05
148	2	0	0	0	6	4	2	3	5	14	20	1	10	0	3	1	1	0	0	3	0	0	10	8	3	53	10	632,7426147461	1452	6	34,4992713928	56,8320579529	134,3320617676	170,5021820068	167,334777832	137,0025482178	116,3313369751	126,161567688	184,8333282471	214,6655731201	141,1643066406	32,9998168945	5	0,3419928551	0,3696754575	0,4069274664	0,4308561981	0,4282071888	0,4614697993	0,5017526746	0,4874874055	0,4977242947	0,4810414314	0,4409817755	0,4282557964	0,4197413027	0,3754990995	0,370819062	0,4186274409	0,5019246936	0,4865224361	0,449100256	0,401653558	0,4336805642	0,400746882	0,3557043374	13,9066590388	3,0006953573	17
2058	6	0	0	0	0	0	0	1	0	6	21	3	22	1	5	3	0	0	0	0	3	1	2	4	15	0	0	397,6681213379	1482	7	59,3413505554	78,7852249146	141,9879760742	134,9536132813	133,2972412109	102,0360870361	143,2388458252	135,6025238037	160,9639129639	182,1386108398	115,7709121704	69,837348938	6	0,3275904357	0,357216388	0,4175327122	0,4200921357	0,4997978806	0,5153496861	0,4767210484	0,5106385946	0,4987870753	0,4847481549	0,4829307497	0,4482843578	0,443793267	0,4375806153	0,4889599979	0,4490681887	0,4513768554	0,4958823621	0,4553720653	0,4653825164	0,4610690176	0,3950130343	0,3593416214	16,6053619734	2,1760916829	7
1117	6	0	0	0	0	0	0	0	1	68	2	0	5	0	0	0	0	0	0	1	2	0	0	0	2	2	0	440,8254394531	1462	2	86,1672058105	97,6645126343	137,3282470703	144,5000762939	112,5039215088	101,8344116211	84,6645126343	90,1658935547	153,1687469482	181,002532959	164,8337860107	101,3335647583	1	0,371101588	0,3964127004	0,4005589485	0,450866878	0,5211072564	0,5296277404	0,5211542845	0,5295621753	0,5168941617	0,5108299851	0,4937939346	0,4604263008	0,475264281	0,4522574842	0,4747928679	0,5149437189	0,5417474508	0,5155897141	0,5078781247	0,5086929798	0,4852396846	0,4516273737	0,3828564286	15,8182402842	1,1640780824	5
642	2	0	0	5	3	2	8	0	1	24	44	33	61	0	0	0	2	0	1	3	11	0	7	0	4	99	19	464,8113098145	1462	1	55,5	78,3333358765	144,3333282471	139,3333282471	141	110,1666641235	113,3333358765	114	157,3333282471	189,3333282471	131,3333282471	67,5	1	0,3465560079	0,3723695576	0,4282633364	0,4378268719	0,4543355703	0,5144671202	0,5515197515	0,5453588963	0,5322650075	0,5195464492	0,5021859407	0,4759955704	0,4655196071	0,4368049502	0,4632284343	0,4931033254	0,5107557178	0,4853099883	0,4826565385	0,4691247642	0,42841205	0,4247849882	0,332111448	15,4434204321	2,2135736681	23,0026022369
1178	0	0	0	0	5	1	16	0	0	46	33	6	20	0	0	0	1	0	0	6	6	0	8	2	0	121	134	561,020690918	1518,4444580078	7	23,9934749603	55,8668632507	138,1716766357	144,7411193848	143,3485565186	145,760055542	155,760345459	167,7244262695	184,3375701904	202,2530822754	110,6452789307	31,0684814453	5	0,3393430412	0,3626629412	0,4067150056	0,4391768277	0,4785654843	0,5185241699	0,5015223026	0,5234839916	0,5136218071	0,5144625306	0,5035732388	0,4831475019	0,481552273	0,468767792	0,4710398316	0,4886629879	0,5003674626	0,4624489844	0,4436620176	0,4305564761	0,436314404	0,4121509492	0,3469465375	15,8557222694	3,5629251354	16,5
